Order ID,Order Date,Item Name,Quantity,Product Price,Total products
25567,03/08/2019 18:51,Bombay Aloo,1,5.95,4
25566,03/08/2019 18:48,Onion Bhaji,1,3.95,8
25566,03/08/2019 18:48,Plain Papadum,3,0.8,8
25566,03/08/2019 18:48,Onion Chutney,1,0.5,8
25566,03/08/2019 18:48,Chicken Tikka Masala,1,8.95,8
25566,03/08/2019 18:48,Madras - Chicken,1,7.95,8
25566,03/08/2019 18:48,Keema Naan,1,2.95,8
25566,03/08/2019 18:48,Mushroom Rice,1,3.95,8
25566,03/08/2019 18:48,Pilau Rice,1,2.95,8
25565,03/08/2019 18:42,Onion Bhaji,1,3.95,7
25565,03/08/2019 18:42,Lamb Chops,1,5.95,7
25565,03/08/2019 18:42,Pilau Rice,1,2.95,7
25565,03/08/2019 18:42,Plain Papadum,1,0.8,7
25565,03/08/2019 18:42,Butter Chicken,1,8.95,7
25565,03/08/2019 18:42,Chicken Biryani,1,9.95,7
25565,03/08/2019 18:42,Aloo Gobi,1,5.95,7
25564,03/08/2019 18:32,Onion Bhaji,1,3.95,5
25564,03/08/2019 18:32,Mango Chutney,1,0.5,5
25564,03/08/2019 18:32,Plain Papadum,1,0.8,5
25564,03/08/2019 18:32,Curry - Chicken,1,7.95,5
25564,03/08/2019 18:32,Pilau Rice,1,2.95,5
25563,03/08/2019 18:26,Chicken Chaat,1,4.95,12
25563,03/08/2019 18:26,Prawn Puree,1,4.95,12
25563,03/08/2019 18:26,Mixed Raita,1,2.95,12
25563,03/08/2019 18:26,Chicken Tikka Jalfrezi,1,8.95,12
25563,03/08/2019 18:26,Lamb Biryani,1,9.95,12
25563,03/08/2019 18:26,Kulcha Naan,1,2.95,12
25563,03/08/2019 18:26,Keema Naan,1,2.95,12
25563,03/08/2019 18:26,Pilau Rice,1,2.95,12
25563,03/08/2019 18:26,Butter Chicken,1,8.95,12
25563,03/08/2019 18:26,Plain Rice,1,2.95,12
25563,03/08/2019 18:26,Peshwari Naan,1,2.95,12
25563,03/08/2019 18:26,Bombay Aloo,1,5.95,12
25562,03/08/2019 18:23,Chicken Tikka,1,4.95,6
25562,03/08/2019 18:23,Pilau Rice,1,2.95,6
25562,03/08/2019 18:23,Garlic Naan,1,2.95,6
25562,03/08/2019 18:23,Chapati,2,1.95,6
25562,03/08/2019 18:23,Bottle Coke,1,2.95,6
25562,03/08/2019 18:23,Chicken Tikka Masala,1,8.95,6
25561,03/08/2019 18:19,Tandoori Mixed Grill,1,11.95,5
25561,03/08/2019 18:19,Chicken Tikka Biryani,1,10.95,5
25561,03/08/2019 18:19,Peshwari Naan,1,2.95,5
25561,03/08/2019 18:19,Tandoori Paratha,1,2.95,5
25561,03/08/2019 18:19,Butter Chicken,1,8.95,5
25560,03/08/2019 18:18,Chicken Tikka Masala,1,8.95,9
25560,03/08/2019 18:18,Vindaloo Sauce,2,3.95,9
25560,03/08/2019 18:18,Plain Rice,1,2.95,9
25560,03/08/2019 18:18,Bombay Aloo,1,5.95,9
25560,03/08/2019 18:18,Sheek Kebab,1,4.95,9
25560,03/08/2019 18:18,Plain Papadum,4,0.8,9
25560,03/08/2019 18:18,Chapati,1,1.95,9
25560,03/08/2019 18:18,Mint Sauce,1,0.5,9
25560,03/08/2019 18:18,Naan,1,2.5,9
25559,03/08/2019 18:01,Chicken Chilli Suka,1,8.95,9
25559,03/08/2019 18:01,Murgh Masala,1,8.95,9
25559,03/08/2019 18:01,Chicken Biryani,1,9.95,9
25559,03/08/2019 18:01,Special Fried Rice,1,3.95,9
25559,03/08/2019 18:01,Plain Rice,1,2.95,9
25559,03/08/2019 18:01,Naan,1,2.5,9
25559,03/08/2019 18:01,Pilau Rice,1,2.95,9
25559,03/08/2019 18:01,Korma - Chicken,1,8.95,9
25559,03/08/2019 18:01,French Fries,1,3.95,9
25558,03/08/2019 18:01,Plain Papadum,2,0.8,11
25558,03/08/2019 18:01,Mint Sauce,1,0.5,11
25558,03/08/2019 18:01,Red Sauce,1,0.5,11
25558,03/08/2019 18:01,Paneer Tikka Masala,1,8.95,11
25558,03/08/2019 18:01,Chicken Tikka Pasanda,1,8.95,11
25558,03/08/2019 18:01,Pilau Rice,1,2.95,11
25558,03/08/2019 18:01,Mushroom Rice,1,3.95,11
25558,03/08/2019 18:01,Paneer Dansak,1,8.95,11
25558,03/08/2019 18:01,Chana Masala,1,5.95,11
25558,03/08/2019 18:01,Mushroom Bhajee,1,5.95,11
25558,03/08/2019 18:01,Saag Paneer,1,5.95,11
25557,03/08/2019 17:41,Crispy Aloo,1,3.95,12
25557,03/08/2019 17:41,Onion Bhaji,1,3.95,12
25557,03/08/2019 17:41,Mix Starter,1,5.95,12
25557,03/08/2019 17:41,Plain Papadum,3,0.8,12
25557,03/08/2019 17:41,French Fries,1,3.95,12
25557,03/08/2019 17:41,Curry - Chicken,1,7.95,12
25557,03/08/2019 17:41,Curry - Chicken Tikka,1,8.95,12
25557,03/08/2019 17:41,Mushroom Rice,1,3.95,12
25557,03/08/2019 17:41,Pilau Rice,1,2.95,12
25557,03/08/2019 17:41,Naan,1,2.5,12
25557,03/08/2019 17:41,Peshwari Naan,1,2.95,12
25557,03/08/2019 17:41,Lamb Tikka Karahi,1,9.95,12
25556,03/08/2019 17:40,Mini Bhaji,1,3.95,8
25556,03/08/2019 17:40,Garlic Chicken,2,8.95,8
25556,03/08/2019 17:40,Chicken Tikka Masala,2,8.95,8
25556,03/08/2019 17:40,Chicken Roshni,1,10.95,8
25556,03/08/2019 17:40,Garlic Naan,3,2.95,8
25556,03/08/2019 17:40,Saag Aloo,1,5.95,8
25556,03/08/2019 17:40,Pilau Rice,2,2.95,8
25556,03/08/2019 17:40,Mushroom Rice,2,3.95,8
25555,03/08/2019 17:36,Onion Bhaji,1,3.95,7
25555,03/08/2019 17:36,Chicken Tikka,1,4.95,7
25555,03/08/2019 17:36,Chicken Tikka Masala,1,8.95,7
25555,03/08/2019 17:36,Bombay Aloo,1,5.95,7
25555,03/08/2019 17:36,Mushroom Bhajee,1,5.95,7
25555,03/08/2019 17:36,Naan,1,2.5,7
25555,03/08/2019 17:36,Pilau Rice,1,2.95,7
25554,03/08/2019 17:30,Onion Bhaji,1,3.95,15
25554,03/08/2019 17:30,Prawn Puree,1,4.95,15
25554,03/08/2019 17:30,Plain Papadum,5,0.8,15
25554,03/08/2019 17:30,Mango Chutney,1,0.5,15
25554,03/08/2019 17:30,Onion Chutney,1,0.5,15
25554,03/08/2019 17:30,Red Sauce,1,0.5,15
25554,03/08/2019 17:30,Tandoori Chicken Masala,1,9.95,15
25554,03/08/2019 17:30,Butter Chicken,1,8.95,15
25554,03/08/2019 17:30,Chicken Tikka Pasanda,1,8.95,15
25554,03/08/2019 17:30,King Prawn Shaslick,1,12.95,15
25554,03/08/2019 17:30,Keema Naan,1,2.95,15
25554,03/08/2019 17:30,Lemonade 1.5 ltr,1,2.95,15
25554,03/08/2019 17:30,Plain Rice,1,2.95,15
25554,03/08/2019 17:30,Pilau Rice,2,2.95,15
25554,03/08/2019 17:30,Saag Aloo,1,5.95,15
25553,03/08/2019 17:23,Chicken Tikka Biryani,1,10.95,3
25553,03/08/2019 17:23,Tarka Dall,1,5.95,3
25553,03/08/2019 17:23,Naan,1,2.5,3
25552,03/08/2019 17:21,Madras - Chicken,1,7.95,5
25552,03/08/2019 17:21,Pathia - Chicken,1,8.95,5
25552,03/08/2019 17:21,Pilau Rice,1,2.95,5
25552,03/08/2019 17:21,Naan,1,2.5,5
25552,03/08/2019 17:21,Bombay Aloo,1,5.95,5
25551,03/08/2019 16:43,Dupiaza - Chicken,1,8.95,5
25551,03/08/2019 16:43,Pathia - Chicken,2,8.95,5
25551,03/08/2019 16:43,Kulcha Naan,1,2.95,5
25551,03/08/2019 16:43,Mushroom Rice,1,3.95,5
25551,03/08/2019 16:43,Tandoori Mixed Grill,1,11.95,5
25550,03/08/2019 16:43,Plain Papadum,3,0.8,4
25550,03/08/2019 16:43,Prawn Biryani,1,10.95,4
25550,03/08/2019 16:43,Dupiaza - Lamb,1,8.95,4
25550,03/08/2019 16:43,Peshwari Naan,1,2.95,4
25549,03/08/2019 16:42,Red Sauce,1,0.5,7
25549,03/08/2019 16:42,Garlic Naan,1,2.95,7
25549,03/08/2019 16:42,Keema Naan,1,2.95,7
25549,03/08/2019 16:42,Pilau Rice,1,2.95,7
25549,03/08/2019 16:42,Keema Rice,1,3.95,7
25549,03/08/2019 16:42,Korma - Chicken Tikka,1,8.95,7
25549,03/08/2019 16:42,Bhuna - Lamb,1,8.95,7
25548,03/08/2019 16:16,Onion Chutney,1,0.5,6
25548,03/08/2019 16:16,Bhuna - Chicken,1,8.95,6
25548,03/08/2019 16:16,Curry - Lamb,1,7.95,6
25548,03/08/2019 16:16,Pilau Rice,2,2.95,6
25548,03/08/2019 16:16,Naan,1,2.5,6
25548,03/08/2019 16:16,COBRA ( LARGE ),1,5.5,6
25547,03/08/2019 12:03,Butter Chicken,2,8.95,4
25547,03/08/2019 12:03,Paneer Tikka Masala,2,8.95,4
25547,03/08/2019 12:03,Tarka Dall,2,5.95,4
25547,03/08/2019 12:03,Naan,4,2.5,4
25546,02/08/2019 22:43,Curry - Chicken,1,7.95,3
25546,02/08/2019 22:43,Paratha,1,2.95,3
25546,02/08/2019 22:43,Chana Masala,1,5.95,3
25545,02/08/2019 22:06,Korma - Chicken,1,8.95,5
25545,02/08/2019 22:06,Plain Rice,1,2.95,5
25545,02/08/2019 22:06,Keema Rice,1,3.95,5
25545,02/08/2019 22:06,Chicken Tikka,1,4.95,5
25545,02/08/2019 22:06,Naan,1,2.5,5
25544,02/08/2019 20:28,Prawn Puree,1,4.95,8
25544,02/08/2019 20:28,Plain Papadum,1,0.8,8
25544,02/08/2019 20:28,Onion Chutney,1,0.5,8
25544,02/08/2019 20:28,Vindaloo - Chicken,1,7.95,8
25544,02/08/2019 20:28,Aloo Gobi,1,5.95,8
25544,02/08/2019 20:28,Egg Paratha,1,3.95,8
25544,02/08/2019 20:28,Chapati,1,1.95,8
25544,02/08/2019 20:28,Vegetable Rice,1,3.95,8
25543,02/08/2019 20:14,Curry - Chicken,1,7.95,3
25543,02/08/2019 20:14,Naan,1,2.5,3
25543,02/08/2019 20:14,Pilau Rice,1,2.95,3
25542,02/08/2019 20:09,Mini Bhaji,2,3.95,4
25542,02/08/2019 20:09,Naan,1,2.5,4
25542,02/08/2019 20:09,Pilau Rice,1,2.95,4
25542,02/08/2019 20:09,Chicken Tikka Masala,1,8.95,4
25541,02/08/2019 20:09,Curry - Chicken,1,7.95,5
25541,02/08/2019 20:09,Korma - Chicken,1,8.95,5
25541,02/08/2019 20:09,Pilau Rice,1,2.95,5
25541,02/08/2019 20:09,Mushroom Rice,1,3.95,5
25541,02/08/2019 20:09,Keema Naan,1,2.95,5
25540,02/08/2019 19:47,Chicken Tikka Jalfrezi,1,8.95,6
25540,02/08/2019 19:47,Plain Rice,2,2.95,6
25540,02/08/2019 19:47,Chicken Shaslick,1,9.95,6
25540,02/08/2019 19:47,Aloo Brinjal,1,5.95,6
25540,02/08/2019 19:47,Red Sauce,1,0.5,6
25540,02/08/2019 19:47,Mango Chutney,1,0.5,6
25539,02/08/2019 19:32,Onion Bhaji,1,3.95,6
25539,02/08/2019 19:32,Meat Samosa,1,3.95,6
25539,02/08/2019 19:32,Chicken Tikka Biryani,1,10.95,6
25539,02/08/2019 19:32,Madras Sauce,1,3.95,6
25539,02/08/2019 19:32,Korma Sauce,1,4.95,6
25539,02/08/2019 19:32,Naan,1,2.5,6
25538,02/08/2019 19:30,Chicken Tikka Masala,1,8.95,4
25538,02/08/2019 19:30,Plain Rice,1,2.95,4
25538,02/08/2019 19:30,Lemonade 1.5 ltr,1,2.95,4
25538,02/08/2019 19:30,Keema Naan,1,2.95,4
